"Aeroespacial";"Grau";"Grau d'Enginyeria d'Aeronavegació";"grau_eng_aeronavegacio"
"Aeroespacial";"Grau";"Grau d'Enginyeria d'Aeroports";"grau_eng_aeroports"
"Aeroespacial";"Grau";"Grau d'Enginyeria en Tecnologies Aeroespacials";"grau_eng_tecnol_aeroesp"
"Aeroespacial";"Grau";"Grau d'Enginyeria en Vehicles Aeroespacials";"grau_eng_vehic_aeroesp"
"Aeroespacial";"Segon cicle";"Enginyeria Aeronàutica";"eng_aeronautica"
"Arquitectura";"Grau";"Grau en Arquitectura";"grau_arquitectura"
"Arquitectura";"Grau";"Grau en Enginyeria d'Edificació";"grau_eng_edificacio"
"Arquitectura";"Segon cicle";"Enginyeria d'Organització Industrial, orientada a l'Edificació";"eng_org_indust_edificacio"
"Arquitectura";"Segon cicle";"Enginyeria d'Organització Industrial, orientada a l'Edificació i Graduat Superior en Gestió de l'Edificació";"eng_org_indust_edificacio_graduat"
"Arquitectura";"Segon cicle";"Graduat Superior en Disseny";"graduat_sup_disseny"
"Biosistemes";"Grau";"Grau en Enginyeria Agrícola";"grau_eng_agricola"
"Biosistemes";"Grau";"Grau en Enginyeria Agroambiental i del Paisatge";"grau_eng_agroamb_paisat"
"Biosistemes";"Grau";"Grau en Enginyeria Alimentària";"grau_eng_alimentaria"
"Biosistemes";"Grau";"Grau en Enginyeria de Sistemes Biològics";"grau_eng_sist_biologics"
"Ciències Aplicades";"Grau";"Grau en Enginyeria Física";"grau_eng_fisica"
"Ciències Aplicades";"Grau";"Grau en Estadística";"grau_estadistica"
"Ciències Aplicades";"Grau";"Grau en Matemàtiques";"grau_matematiques"
"Ciències Aplicades";"Segon cicle";"Llicenciatura de Ciències i Tècniques Estadístiques";"llic_cien_tecn_estadis"
"Ciències Aplicades";"Segon cicle";"Llicenciatura en Matemàtiques";"llic_matematiques"
"Civil";"Grau";"Grau en Enginyeria Civil";"grau_eng_civil"
"Civil";"Grau";"Grau en Enginyeria de la Construcció";"grau_eng_contruccio"
"Civil";"Grau";"Grau en Enginyeria Geològica";"grau_eng_geologica"
"Civil";"Grau";"Grau en Enginyeria Geomàtica i Topografia";"grau_eng_geoma_topogra"
"Civil";"Grau";"Grau en Enginyeria de Recursos Minerals";"grau_eng_recurs_minerals"
"Civil";"Segon cicle";"Enginyeria de Camins, Canals i Ports";"eng_camins"
"Civil";"Segon cicle";"Enginyeria de Mines";"eng_mines"
"Civil";"Segon cicle";"Enginyeria Geològica";"eng_geologica"
"Comunicació";"Grau";"Grau en Fotografia i Creació Digital";"grau_fotog_creac_digital"
"Comunicació";"Grau";"Grau en Mitjans Audiovisuals";"grau_mitjans_audiov"
"Comunicació";"Grau";"Grau en Multimèdia";"grau_multimedia"
"Empreses";"Grau";"Grau en Administració i Direcció d'Empreses";"grau_adm_dir_empreses"
"Industrials";"Grau";"Grau en Enginyeria de Disseny Industrial i Desenvolupament del Producte";"grau_eng_disseny_indus"
"Industrials";"Grau";"Grau en Enginyeria Elèctrica";"grau_eng_electrica"
"Industrials";"Grau";"Grau en Enginyeria Electrònica, Industrial i Automàtica";"grau_eng_electronica_indus_autom"
"Industrials";"Grau";"Grau en Enginyeria de l'Energia";"grau_eng_energia"
"Industrials";"Grau";"Grau en Enginyeria de Materials";"grau_eng_materials"
"Industrials";"Grau";"Grau en Enginyeria Mecànica";"grau_eng_mecanica"
"Industrials";"Grau";"Grau en Enginyeria en Organització Industrial";"grau_eng_org_indus"
"Industrials";"Grau";"Grau en Enginyeria Química";"grau_eng_quimica"
"Industrials";"Grau";"Grau en Enginyeria de Tecnologia i Disseny Tèxtil";"grau_eng_tecno_disseny_textil"
"Industrials";"Grau";"Grau en Enginyeria en Tecnologies Industrials";"grau_eng_tecno_indus"
"Industrials";"Segon cicle";"Enginyeria d'Automàtica i Electrònica Industrial";"eng_automatica_electro_indus"
"Industrials";"Segon cicle";"Enginyeria en Organització Industrial";"eng_org_industrial"
"Industrials";"Segon cicle";"Enginyeria de Materials";"eng_materials"
"Industrials";"Segon cicle";"Enginyeria Industrial";"eng_industrial"
"Industrials";"Segon cicle";"Enginyeria Química";"eng_quimica"
"Informàtica";"Grau";"Grau en Enginyeria Informàtica";"grau_eng_informatica"
"Informàtica";"Grau";"Grau en Enginyeria de Sistemes TIC";"grau_eng_sistemes_TIC"
"Naval";"Grau";"Grau en Enginyeria Marina";"grau_eng_marina"
"Naval";"Grau";"Grau en Enginyeria Nàutica i Transport Marítim";"grau_eng_nautic_transp_maritim"
"Naval";"Grau";"Grau en Enginyeria en Sistemes i Tecnologia Naval";"grau_eng_sist_tecno_naval"
"Naval";"Segon cicle";"Llicenciatura de Màquines Navals";"llic_maquines_navals"
"Naval";"Segon cicle";"Llicenciatura de Nàutica i Transport Marítim";"llic_nautic_transport_maritim"
"Tecn. de la Salut";"Grau";"Grau en Enginyeria Biomèdica";"grau_eng_biomedica"
"Tecn. de la Salut";"Grau";"Grau en Òptica i Optometria";"grau_optica_optometria"
"Telecomunicació";"Grau";"Grau en Enginyeria en Tecnologies de Telecomunicació";"grau_eng_tecno_telecos"
"Telecomunicació";"Grau";"Grau en Enginyeria Telemàtica";"grau_eng_telematica"
"Telecomunicació";"Grau";"Grau en Enginyeria de Sistemes Audiovisuals";"grau_eng_sist_audiovisuals"
"Telecomunicació";"Grau";"Grau en Enginyeria de Sistemes Electrònics";"grau_eng_sist_electronics"
"Telecomunicació";"Grau";"Grau en Enginyeria de Sistemes de Telecomunicació";"grau_eng_sist_telecos"
"Telecomunicació";"Grau";"Grau en Enginyeria de Sistemes TIC";"grau_eng_sistemes_TIC"
"Telecomunicació";"Segon cicle";"Enginyeria de Telecomunicació";"eng_telecos"
"Telecomunicació";"Segon cicle";"Enginyeria Electrònica";"eng_electronica"
